title mz rt nPeptides
qExactive01819.9096.9096.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9096%22 786.421508767025 35.552007 4474
qExactive01819.12845.12845.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D12845%22 521.098571777344 51.236005999999996 6
qExactive01819.4916.4916.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4916%22 758.854569349452 22.498428 19768
qExactive01819.9693.9693.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9693%22 710.38384616623 38.329266999999994 3938
qExactive01819.6493.6493.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6493%22 618.360474077315 27.217582 989
qExactive01819.10182.10182.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10182%22 966.088346317604 40.542026 35805
qExactive01819.8035.8035.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8035%22 975.479552909246 31.520135999999997 25505
qExactive01819.9548.9548.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9548%22 689.305289138861 37.653687 24600
qExactive01819.5650.5650.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5650%22 689.318382800339 24.840563 22391
qExactive01819.7825.7825.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7825%22 1064.009207600298 30.990207 39407
qExactive01819.5609.5609.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5609%22 685.849941409112 24.728060000000003 6798
qExactive01819.6566.6566.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6566%22 847.900350216156 27.409751000000004 23164
qExactive01819.7366.7366.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7366%22 898.415524181349 29.602533 43766
qExactive01819.1609.1609.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1609%22 607.209838867188 6.9815255 122
qExactive01819.6312.6312.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6312%22 795.406215936354 26.73704 10434
qExactive01819.4879.4879.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4879%22 562.317701606346 22.390451 2384
qExactive01819.7560.7560.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7560%22 836.950970863309 30.163412 8802
qExactive01819.10881.10881.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10881%22 726.328314819195 43.554314999999995 27026
qExactive01819.5505.5505.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5505%22 668.864359368407 24.413436 3040
qExactive01819.8663.8663.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8663%22 902.455738476403 33.770798 15114
qExactive01819.8180.8180.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8180%22 1001.553612091513 32.032513 4079
qExactive01819.7929.7929.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7929%22 706.843843999201 31.243479999999998 11843
qExactive01819.7036.7036.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7036%22 622.317421734941 28.812516000000002 8805
qExactive01819.9512.9512.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9512%22 774.858693074422 37.480757000000004 21892
qExactive01819.5723.5723.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5723%22 745.859544023562 25.104975000000003 14304
qExactive01819.8445.8445.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8445%22 670.852252278456 32.909589000000004 4578
qExactive01819.5089.5089.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5089%22 918.903366762189 23.094969 53896
qExactive01819.5915.5915.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5915%22 743.34498610813 25.692529 27215
qExactive01819.9880.9880.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9880%22 612.797124910838 39.170586 9613
qExactive01819.10295.10295.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10295%22 533.827515835217 41.051507 1305
qExactive01819.6343.6343.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6343%22 800.975133102379 26.83208 9778
qExactive01819.9579.9579.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9579%22 649.314230868827 37.78622 14167
qExactive01819.8959.8959.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8959%22 734.302663429922 34.961194 35250
qExactive01819.7752.7752.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7752%22 980.96002246408 30.783536 45094
qExactive01819.4014.4014.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4014%22 592.334716796875 18.811142 2073
qExactive01819.9169.9169.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9169%22 838.893026254031 35.883065 24533
qExactive01819.4377.4377.4+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4377%22 528.734616098939 20.389494 7013
qExactive01819.6125.6125.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6125%22 584.334978333743 26.259871999999998 1648
qExactive01819.6263.6263.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6263%22 829.045312872631 26.585533 33779
qExactive01819.9102.9102.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9102%22 674.351183545275 35.571084000000006 7204
qExactive01819.9946.9946.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9946%22 621.695886579717 39.477271 3152
qExactive01819.6639.6639.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6639%22 642.314377964097 27.619049 13344
qExactive01819.7970.7970.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7970%22 816.895477390862 31.337301 17682
qExactive01819.5494.5494.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5494%22 833.896406740287 24.385626 21330
qExactive01819.5946.5946.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5946%22 677.851662366372 25.779689 5363
qExactive01819.5240.5240.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5240%22 681.822807082217 23.616937 13244
qExactive01819.5383.5383.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5383%22 837.066299416134 24.076791 32966
qExactive01819.8476.8476.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8476%22 799.876194565497 33.023949 20842
qExactive01819.7519.7519.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7519%22 626.311624501932 30.038776 11049
qExactive01819.8440.8440.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8440%22 854.934116658128 32.897528 10836
qExactive01819.4583.4583.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4583%22 608.333614613026 21.302111 3425
